Organism Name,# of essential genes,NCBI Taxonomy ID
Salinimonas chungwhensis,1536,1123236
Salinisphaera hydrothermalis,1933,1304275
Salinisphaera shabanensis,1553,1033802
Salinispora arenicola,1113,391037
Salinispora pacifica,2215,1136417
Salinispora tropica,559,369723
Salipiger mucosus,1900,1123237
Salmonella bongori N26808,1229,1197719
Salmonella bongori NCTC12419,1018,218493
Salmonella enterica Typhimurium,1135,90371
Sandarakinorhabdus limnophila,609,1123240
Sandarakinorhabdus sp. AAP62,690,1248916
Sanguibacter keddieii,778,446469
Scardovia inopinata,167,641146
Scardovia wiggsiae,263,857290
Schmidhempelia bombi,562,1387197
Sciscionella sp. SE31,3026,1445613
Scytonema hofmanni,2727,1469607
Sebaldella termitidis,716,526218
Sedimentitalea nanhaiensis,2143,571166
Sediminimonas qiaohouensis,1488,1123247
Segniliparus rotundus,444,640132
Segniliparus rugosus,1109,679197
Senegalimassilia anaerobia,160,1034345
Serinicoccus marinus,770,1123251
Serinicoccus profundi,720,1043205
Serratia fonticola AUAP2C,1224,1332071
Serratia fonticola RB25,2196,1441930
Serratia grimesii,1801,82995
Serratia marcescens Db11,1264,273526
Serratia marcescens FGI94,1191,1249634
Serratia plymuthica,1281,82996
Serratia proteamaculans,1325,399741
Serratia sp. Ag1,1457,1524467
Serratia sp. ATCC39006,1144,104623
Serratia sp. DD3,1829,1410619
Serratia sp. H1n,2419,1397284
Serratia sp. M24T3,1841,932213
Serratia symbiotica,218,568817
Shewanella amazonensis,1119,326297
Shewanella denitrificans,1395,318161
Shewanella frigidimarina,1457,318167
Shewanella halifaxensis,1532,458817
Shewanella haliotis,2454,1236541
Shewanella loihica,1365,323850
Shewanella marina,1885,1236542
Shewanella oneidensis,860,211586
Shewanella pealeana,1394,398579
Shewanella piezotolerans,1430,225849
Shewanella putrefaciens,1545,319224
Shewanella sediminis,1803,425104
Shewanella sp. ANA3,1367,94122
Shewanella sp. ECSMB14101,1807,1565129
Shewanella sp. YQH10,1632,1515746
Shewanella violacea,1026,637905
Shewanella waksmanii,1960,1336233
Shewanella woodyi,1543,392500
Shigella flexneri,1007,198214
Shimwellia blattae,1068,630626
Shinella sp. DD12,3374,1410620
Sideroxydans lithotrophicus,803,580332
Silanimonas lenta,919,1123253
Silicibacter lacuscaerulensis,1288,644107
Silicibacter sp. TrichCH4B,1746,644076
Simiduia agarivorans,957,1117647
Simonsiella muelleri,379,641147
Simplicispira psychrophila,1648,1123255
Sinorhizobium americanum,1736,1408224
Sinorhizobium arboris,2796,935557
Sinorhizobium fredii HH103,899,1117943
Sinorhizobium fredii NGR234,663,394
Sinorhizobium fredii USDA257,1856,1185652
Sinorhizobium medicae,1114,366394
Sinorhizobium meliloti,1188,266834
Sinorhizobium sp. CCBAU05631,1668,794846
Slackia exigua,141,649764
Slackia heliotrinireducens,392,471855
Slackia piriformis,92,742818
Smaragdicoccus niigatensis,1273,1123258
Snodgrassella alvi,288,1196083
Sodalis glossinidius,587,343509
Sodalis pierantonius,549,2342
Solemya velum,810,2340
Solibacter usitatus,2301,234267
Solimonas flava,1878,1123257
Solimonas soli,1812,1123261
Solimonas variicoloris,1706,1123256
Solirubrobacterales bacterium URHD0059,2530,1380390
Sorangium cellulosum So ce56,1892,448385
Sorangium cellulosum So01572,2119,1254432
Sphaerotilus natans,2125,1286631
Sphingobium baderi,728,1114964
Sphingobium chlorophenolicum,1384,46429
Sphingobium herbicidovorans,1274,1219045
Sphingobium japonicum UT26S,320,452662
Sphingobium lactosutens,1801,1331060
Sphingobium sp. AP49,1595,1144307
Sphingobium sp. ba1,1392,1522072
Sphingobium sp. C100,1094,1207055
Sphingobium sp. SYK6,673,627192
Sphingobium sp. YL23,904,1335760
Sphingobium ummariense,1258,1346791
Sphingobium xenophagum,1499,1192759
Sphingobium yanoikuyae,1118,13690
Sphingomonas astaxanthinifaciens,637,1123267
Sphingomonas echinoides,1521,1112212
Sphingomonas elodea,1718,1081640
Sphingomonas melonis,1527,1090320
Sphingomonas parapaucimobilis,1478,1219049
Sphingomonas paucimobilis,1705,13689
Sphingomonas phyllosphaerae 52,1307,1090318
Sphingomonas phyllosphaerae FA2,1057,1090319
Sphingomonas sanxanigenens,1186,1123269
Sphingomonas sp. 3524ZXX,1511,1545915
Sphingomonas sp. 37zxx,1278,1550073
Sphingomonas sp. ATCC31555,1681,194867
Sphingomonas sp. FUKUSWIS1,1403,1379701
Sphingomonas sp. KC8,842,1030157
Sphingomonas sp. MM1,806,745310
Sphingomonas sp. Mn802worker,756,629773
Sphingomonas sp. PAMC26605,1312,1112214
Sphingomonas sp. PAMC26617,1882,1112216
Sphingomonas sp. PR090111T3T6A,1440,685778
Sphingomonas sp. RIT328,1720,1470591
Sphingomonas sp. S17,1740,1007104
Sphingomonas sp. SKA58,1425,314266
Sphingomonas sp. UNC305MFCol52,1340,1449076
Sphingomonas taxi,664,1549858
Sphingomonas wittichii,871,392499
Sphingopyxis alaskensis,738,317655
Sphingopyxis baekryungensis,1134,1123270
Sphingopyxis sp. LC363,995,1120705
Sphingopyxis sp. LC81,989,1502850
Sphingopyxis sp. MC1,867,1174684
Sphingopyxis sp. MWB1,820,1537715
Spiribacter salinus,455,1260251
Spiribacter sp. UAHSP71,491,1335757
Spirillospora albida,2564,58123
Spirulina subsalsa,2072,1173029
Spongiibacter tropicus,1965,1123279
Sporichthya polymorpha,2271,1048339
Stackebrandtia nassauensis,975,446470
Stanieria cyanosphaera,931,111780
Starkeya novella,896,639283
Stenotrophomonas maltophilia 5BAI2,1410,1429851
Stenotrophomonas maltophilia K279a,1036,522373
Stenotrophomonas maltophilia PML168,1507,1118235
Stenotrophomonas maltophilia R5513,1031,391008
Stenoxybacter acetivorans,168,1123296
Stigmatella aurantiaca,2840,378806
Streptacidiphilus albus,3427,105425
Streptacidiphilus carbonis,3146,105422
Streptacidiphilus jeojiense,3527,436229
Streptacidiphilus jiangxiensis,3586,235985
Streptacidiphilus neutrinimicus,3277,105420
Streptacidiphilus oryzae,2710,1449353
Streptacidiphilus rugosus,3375,981369
Streptobacillus moniliformis,222,519441
Streptomyces acidiscabies,4562,1116232
Streptomyces alboflavus,3133,67267
Streptomyces albulus,1723,68570
Streptomyces albus albus,1710,67257
Streptomyces albus J1074,1909,457425
Streptomyces atroolivaceus,2536,66869
Streptomyces auratus,2958,1160718
Streptomyces aureocirculatus,3643,67275
Streptomyces aureofaciens,1645,1894
Streptomyces avermitilis,2003,227882
Streptomyces avicenniae,2233,500153
Streptomyces bicolor,3807,66874
Streptomyces bikiniensis,2902,1896
Streptomyces bingchenggensis,2636,749414
Streptomyces californicus,3188,67281
Streptomyces catenulae,2789,66875
Streptomyces cattleya,1893,1003195
Streptomyces celluloflavus,3306,58344
Streptomyces cellulosae,4019,1968
Streptomyces chartreusis,3329,1079986
Streptomyces clavuligerus,1827,443255
Streptomyces coelicolor,1706,100226
Streptomyces collinus,1956,1214242
Streptomyces davawensis,1682,1214101
Streptomyces durhamensis,4022,68194
Streptomyces flavidovirens,2495,1123319
Streptomyces flavochromogenes,3460,68199
Streptomyces flavovariabilis,3547,284031
Streptomyces fradiae,2119,1906
Streptomyces fulvissimus,2200,1303692
Streptomyces fulvoviolaceus,5153,285535
Streptomyces galbus,3981,33898
Streptomyces ghanaensis,3274,566461
Streptomyces glaucescens,1599,1907
Streptomyces griseoaurantiacus,3006,996637
Streptomyces griseoflavus,838,467200
Streptomyces griseofuscus,3775,146922
Streptomyces griseoluteus,2927,29306
Streptomyces griseorubens,1622,66897
Streptomyces griseus,2545,455632
Streptomyces halstedii,2938,1944
Streptomyces hygroscopicus,1907,1133850
Streptomyces iakyrus,2607,68219
Streptomyces katrae,3110,68223
Streptomyces lavenduligriseus,3500,67315
Streptomyces lydicus,1118,47763
Streptomyces megasporus,2508,44060
Streptomyces mobaraensis,2565,1223523
Streptomyces mutabilis,2448,67332
Streptomyces niger,3122,66373
Streptomyces niveus,2270,1352941
Streptomyces olindensis,3965,358823
Streptomyces olivaceus,3567,47716
Streptomyces pratensis,1642,591167
Streptomyces pristinaespiralis,2605,457429
Streptomyces purpeofuscus,3289,67352
Streptomyces purpureus,2891,1054860
Streptomyces pyridomyceticus,2274,68260
Streptomyces rapamycinicus,3643,1343740
Streptomyces resistomycificus,4587,67356
Streptomyces roseoverticillatus,2719,66429
Streptomyces scabiei,1539,680198
Streptomyces scabrisporus,3644,1123320
Streptomyces sclerotialus,3102,1957
Streptomyces scopuliridis,3361,1440053
Streptomyces seoulensis,2788,73044
Streptomyces somaliensis,1817,1134445
Streptomyces sp. 142MFCol31,3833,1172179
Streptomyces sp. 303MFCol52,4032,1172181
Streptomyces sp. 351MFTsu51,3777,1172180
Streptomyces sp. AA0539,2136,1210045
Streptomyces sp. AA4,3465,591158
Streptomyces sp. Amel2xE9,2802,1157634
Streptomyces sp. ATexABD23,1086,1157635
Streptomyces sp. BoleA5,3425,1157637
Streptomyces sp. C,3188,253839
Streptomyces sp. CNH099,2917,1137269
Streptomyces sp. CNR698,2740,1206101
Streptomyces sp. CNT318,2592,1288079
Streptomyces sp. CNT372,2184,1169154
Streptomyces sp. CNY243,3447,1169161
Streptomyces sp. e14,2714,645465
Streptomyces sp. FxanaC1,2695,1157640
Streptomyces sp. GXT6,2847,711393
Streptomyces sp. HmicA12,3837,1156844
Streptomyces sp. LaPpAH108,2590,1155714
Streptomyces sp. LaPpAH95,2949,1157632
Streptomyces sp. Mg1,2145,465541
Streptomyces sp. MspMPM5,3465,1155718
Streptomyces sp. NRRLB24720,3707,1476876
Streptomyces sp. NRRLF2580,3111,1463841
Streptomyces sp. NRRLF2890,2156,1463845
Streptomyces sp. NRRLF5008,3150,1463853
Streptomyces sp. NRRLF5053,3279,1463854
Streptomyces sp. NRRLF5065,2871,1463855
Streptomyces sp. NRRLF5123,2831,1463856
Streptomyces sp. NRRLF5126,2742,1463857
Streptomyces sp. NRRLF5135,3041,1463858
Streptomyces sp. NRRLF525,1971,1463861
Streptomyces sp. NRRLF5630,2450,1463864
Streptomyces sp. NRRLF6677,3051,1463879
Streptomyces sp. NRRLS118,2357,1463881
Streptomyces sp. NRRLS149,4459,1463885
Streptomyces sp. NRRLS1777,4207,1463887
Streptomyces sp. NRRLS237,3130,1463895
Streptomyces sp. NRRLS337,3577,1463900
Streptomyces sp. NRRLS340,3557,1463901
Streptomyces sp. NRRLS37,2231,1463903
Streptomyces sp. NRRLS474,3328,1463909
Streptomyces sp. NRRLS646,4197,1463917
Streptomyces sp. NRRLS87,3326,1463920
Streptomyces sp. NRRLS920,3216,1463921
Streptomyces sp. NRRLWC3626,3493,1463926
Streptomyces sp. NRRLWC3742,3596,1463934
Streptomyces sp. NRRLWC3773,3984,1463936
Streptomyces sp. PsTaAH124,3447,1157638
Streptomyces sp. R1NS10,5294,1306990
Streptomyces sp. SirexAAE,1627,862751
Streptomyces sp. SPB78,2230,591157
Streptomyces sp. TAA040,1815,1288083
Streptomyces sp. TAA204,2391,1289387
Streptomyces sp. TAA486,2696,1298880
Streptomyces sp. URHA0041,3534,1380346
Streptomyces sulphureus,2722,1123321
Streptomyces sviceus,3553,463191
Streptomyces thermolilacinus,2436,1306406
Streptomyces toyocaensis,2865,55952
Streptomyces varsoviensis,3622,67373
Streptomyces venezuelae,2670,953739
Streptomyces violaceusniger,2378,653045
Streptomyces violens,3390,66377
Streptomyces virginiae,2609,1961
Streptomyces viridochromogenes,2631,591159
Streptomyces viridosporus,2840,665577
Streptomyces vitaminophilus,2664,1123322
Streptomyces wedmorensis,3862,43759
Streptomyces xylophagus,3228,285514
Streptomyces yeochonensis,2386,1449355
Streptosporangium amethystogenes,487,2002
Streptosporangium roseum,982,479432
Succinatimonas hippei,538,762983
Succinimonas amylolytica,820,1265507
Succinivibrio dextrinosolvens,577,1410676
Sulfitobacter donghicola,1137,1300350
Sulfitobacter guttiformis,1590,1443111
Sulfitobacter mediterraneus,1531,83219
Sulfitobacter sp. 20GPM1509m,1992,1380367
Sulfitobacter sp. EE36,631,52598
Sulfitobacter sp. H3,799,1402135
Sulfitobacter sp. MM124,1793,1342299
Sulfitobacter sp. NB68,1507,1342302
Sulfitobacter sp. NB77,1517,1342301
Sulfuricella denitrificans,794,1163617
Sulfuricurvum kujiense,1062,709032
Sulfuricurvum sp. MLSB,604,1537917
Sulfuricurvum sp. RIFRC1,558,1249480
Sulfurimonas autotrophica,532,563040
Sulfurimonas denitrificans,504,326298
Sulfurimonas gotlandica,1643,929558
Sulfurimonas sp. AST10,873,1172190
Sulfurospirillum arcachonense,1362,1123326
Sulfurospirillum barnesii,793,760154
Sulfurospirillum deleyianum,606,525898
Sulfurospirillum multivorans,1221,1150621
Sulfurospirillum sp. MES,1364,1565314
Sulfurospirillum sp. SCADC,1231,1537915
Sulfurovum sp. AR,434,1165841
Sulfurovum sp. NBC371,496,387093
Sutterella wadsworthensis 2159BFAA,443,742823
Sutterella wadsworthensis 3145B,530,742821
Sutterella wadsworthensis HGA0223,530,1203554
Symbiobacter mobilis,962,946483
Synechococcus elongatus PCC6301,517,269084
Synechococcus elongatus PCC7942,570,1140
Synechococcus sp. BL107,571,313625
Synechococcus sp. CB0101,731,232348
Synechococcus sp. CC9311,498,64471
Synechococcus sp. CC9605,438,110662
Synechococcus sp. CC9616,582,110663
Synechococcus sp. CC9902,432,316279
Synechococcus sp. JA23Ba,544,321332
Synechococcus sp. JA33Ab,516,321327
Synechococcus sp. KORDI100,467,1280380
Synechococcus sp. KORDI49,454,585423
Synechococcus sp. KORDI52,448,585425
Synechococcus sp. NKBG15041c,1221,1407650
Synechococcus sp. PCC6312,560,195253
Synechococcus sp. PCC7002,126,32049
Synechococcus sp. PCC7335,2090,91464
Synechococcus sp. PCC7336,414,195250
Synechococcus sp. PCC7502,555,1173263
Synechococcus sp. RCC307,436,316278
Synechococcus sp. RS9916,629,221359
Synechococcus sp. RS9917,335,221360
Synechococcus sp. WH 5701,939,69042
Synechococcus sp. WH 7803,448,32051
Synechococcus sp. WH 7805,701,59931
Synechococcus sp. WH 8016,744,166318
Synechococcus sp. WH 8102,453,84588
Synechococcus sp. WH 8109,406,166314
Synechocystis sp. PCC6714,811,1147
Synechocystis sp. PCC7509,1521,927677
Syntrophobacter fumaroxidans,959,335543
Syntrophorhabdus aromaticivorans,1243,909663
Syntrophus aciditrophicus,706,56780
Tatumella morbirosei,1455,642227
Tatumella ptyseos,1071,1005995
Tatumella sp. NML063099,1014,1344012
Taylorella asinigenitalis,337,1008459
Taylorella equigenitalis,312,937774
Tepidiphilus margaritifer,490,1123354
Terasakiella pusilla,1889,1123355
Teredinibacter turnerae T7901,1227,377629
Teredinibacter turnerae T7902,1335,1056820
Terracoccus sp. 273MFTsu31,1664,1172188
Terriglobus roseus,688,926566
Terriglobus saanensis,602,401053
Tetrasphaera elongata,863,1193181
Thalassobacter arenae,1343,1123360
Thalassobacter stenotrophicus,1271,266809
Thalassobium sp. R2A62,1360,633131
Thalassolituus oleivorans,913,1298593
Thalassospira australica,1842,1528106
Thalassospira profundimaris,1913,1177928
Thalassospira xiamenensis,1064,1123366
Thalassotalea sp. ND16A,1611,1535422
Thauera linaloolentis,1669,1123367
Thauera sp. 27,2154,305700
Thauera sp. 63,1936,497321
Thauera sp. MZ1T,1273,85643
Thauera terpenica,1583,1348657
Thermithiobacillus tepidarius,1100,1123368
Thermobifida fusca,805,269800
Thermobispora bispora,738,469371
Thermodesulfatator atlanticus,512,1123371
Thermodesulfatator indicus,448,667014
Thermodesulfobacterium commune,323,289377
Thermodesulfobacterium geofontis,275,795359
Thermodesulfobacterium hveragerdense,336,1123372
Thermodesulfobacterium hydrogeniphilum,164,161156
Thermodesulfobacterium thermophilum,349,1123373
Thermomonas fusca,1194,1123377
Thermomonospora curvata,1890,471852
Thermus antranikianii,732,1123386
Thermus aquaticus,322,498848
Thermus caliditerrae,695,1330700
Thermus igniterrae,536,1123388
Thermus islandicus,677,1123389
Thermus oshimai,479,751945
Thermus scotoductus,535,743525
Thermus sp. CCBUS3UF1,504,1111069
Thermus sp. YIM77409,424,1449080
Thermus tengchongensis,882,1449357
Thermus thermophilus HB27,403,262724
Thioalkalimicrobium aerophilum,466,717772
Thioalkalimicrobium cyclicum,399,717773
Thioalkalivibrio nitratireducens,927,1255043
Thioalkalivibrio sp. AKL11,1021,545264
Thioalkalivibrio sp. AKL19,1067,1266914
Thioalkalivibrio sp. ALD1,904,1158150
Thioalkalivibrio sp. ALE19,1211,1266909
Thioalkalivibrio sp. ALE31,976,1158182
Thioalkalivibrio sp. ALE6,994,1266908
Thioalkalivibrio sp. ALJ11,951,1158760
Thioalkalivibrio sp. ALJ16,974,1158762
Thioalkalivibrio sp. ALJ24,1014,545276
Thioalkalivibrio sp. ALJ7,941,1158756
Thioalkalivibrio sp. ALJT,783,1158146
Thioalkalivibrio sp. ALMg11,1035,1158165
Thioalkalivibrio sp. ALR1721,1160,1269813
Thioalkalivibrio sp. ALSr1,1159,748658
Thioalkalivibrio sp. HK1,875,1469245
Thioalkalivibrio sp. K90mix,585,396595
Thioalkalivibrio sulfidiphilus,644,396588
Thioalkalivibrio thiocyanodenitrificans,1372,713586
Thioalkalivibrio thiocyanoxidans ARh2,521,1279019
Thioalkalivibrio thiocyanoxidans ARh4,780,713587
Thiobacillus denitrificans ATCC25259,737,292415
Thiobacillus denitrificans DSM12475,1267,1123392
Thiobacillus thioparus,1202,1123393
Thiocapsa marina,443,768671
Thioclava dalianensis,1384,1185766
Thioclava pacifica,1477,1353537
Thioclava sp. 13D2W2,1670,1317124
Thioclava sp. DT234,1367,1353528
Thiocystis violascens,1402,765911
Thioflavicoccus mobilis,843,765912
Thiomicrospira arctica,904,1123514
Thiomicrospira crunogena,532,317025
Thiomicrospira kuenenii,834,1168067
Thiomicrospira pelophila,708,1123517
Thiomicrospira sp. Kp2,989,1123518
Thiomicrospira sp. MilosT1,653,90813
Thiomicrospira sp. MilosT2,899,90814
Thiomonas arsenitoxydans,765,426114
Thiomonas intermedia,715,75379
Thiomonas sp. FBCd,1817,1158292
Thiorhodococcus drewsii,2561,765913
Thiorhodococcus sp. AK35,2278,1249627
Thiorhodospira sibirica,1346,765914
Thiorhodovibrio sp. 970,1959,631362
Thiothrix disciformis,1442,1123399
Thiothrix flexilis,1232,1123400
Thiothrix lacustris,1165,1123401
Thiothrix nivea,1660,870187
Timonella senegalensis,789,1095772
Tistrella mobilis,840,1110502
Tolumonas auensis,808,595494
Tolumonas sp. BRL61,1639,1283284
Tomitella biformata,1987,1448389
Trabulsiella guamensis,1920,1005994
Trichodesmium erythraeum,1055,203124
Tropheryma whipplei,180,203267
Truepera radiovictrix,621,649638
Tsukamurella paurometabola,1021,521096
Tsukamurella sp. 1534,1653,1151061
Turicella otitidis,220,883169
Uliginosibacterium gangwonense,2050,1123487
Varibaculum cambriense DORA20,424,1403948
Varibaculum cambriense DSM15806,383,1123488
Variovorax paradoxus 110B,2615,1157708
Variovorax paradoxus EPS,1619,595537
Variovorax paradoxus S110,2000,543728
Verminephrobacter eiseniae,1060,391735
Verrucomicrobia bacterium LP2A,343,478741
Verrucomicrobiae bacterium DG1235,2026,382464
Verrucomicrobium sp. BvORR034,1839,1396418
Verrucomicrobium sp. BvORR106,2249,1403819
Verrucomicrobium spinosum,1808,240016
Verrucosispora maris,1247,263358
Vesicomyosocius okutanii,136,412965
Vibrio alginolyticus 40B,2392,674977
Vibrio alginolyticus NBRC15630,1575,1219076
Vibrio anguillarum,1281,55601
Vibrio azureus,1599,1219077
Vibrio brasiliensis,1042,945543
Vibrio breoganii,736,1205908
Vibrio caribbeanicus,1686,796620
Vibrio cholerae O1,1259,243277
Vibrio cholerae O395,1290,345073
Vibrio coralliilyticus,1909,675814
Vibrio cyclitrophicus,2174,1136163
Vibrio diazotrophicus,2118,1348635
Vibrio ezurae,459,1219080
Vibrio fischeri,1271,312309
Vibrio genomosp.,1962,1187848
Vibrio halioticoli,1356,1219072
Vibrio jasicida,2581,1280001
Vibrio kanaloae,80,1191299
Vibrio metschnikovii,1508,675813
Vibrio mimicus,1192,675806
Vibrio navarrensis,1694,29495
Vibrio nigripulchritudo,1901,1238450
Vibrio orientalis,1296,675816
Vibrio proteolyticus,2084,1219065
Vibrio rumoiensis,1248,1188252
Vibrio scophthalmi,1237,870967
Vibrio sinaloensis,2347,945550
Vibrio sp. EJY3,1411,1116375
Vibrio sp. ER1A,2150,1517681
Vibrio sp. N418,1888,701176
Vibrio sp. RC586,1665,675815
Vibrio splendidus,2361,617140
Vibrio tasmaniensis,1422,575788
Vibrio tubiashii,1438,1051646
Vibrio vulnificus,1559,672
Vitreoscilla stercoraria,217,1123499
Wenxinia marina,1589,1123501
Wigglesworthia glossinidia sp. Gmo,215,1142511
Wohlfahrtiimonas chitiniclastica,580,1123502
Wolbachia sp. Bma,177,292805
Wolbachia sp. Culex,191,570417
Wolbachia sp. Dme,191,163164
Wolbachia sp. Dsi,188,1236908
Wolbachia sp. Ooc,171,100901
Wolinella succinogenes,712,273121
Woodsholea maritima,750,1123503
Xanthobacter autotrophicus,1067,78245
Xanthobacter sp. 126,2275,1131814
Xanthobacteraceae bacterium 501b,1999,1168059
Xanthomonas albilineans,641,380358
Xanthomonas arboricola,2009,454957
Xanthomonas axonopodis citri,1228,190486
Xanthomonas axonopodis phaseoli,1090,317013
Xanthomonas axonopodis vasculorum,1527,325777
Xanthomonas campestris campestris,982,340
Xanthomonas campestris musacearum,1826,1094184
Xanthomonas campestris vesicatoria,1158,316273
Xanthomonas cassavae,1914,1219375
Xanthomonas fragariae,718,1131451
Xanthomonas fuscans,1071,366649
Xanthomonas hortorum,1136,863365
Xanthomonas oryzae oryzicola,1039,383407
Xanthomonas oryzae PXO99A,820,360094
Xanthomonas sp. Nyagatare,1862,1552758
Xanthomonas translucens,1866,1205753
Xanthomonas vesicatoria,1274,925775
Xenococcus sp. PCC7305,2346,102125
Xenophilus azovorans,2244,1123504
Xenorhabdus bovienii,741,406818
Xenorhabdus nematophila,628,406817
Xylanimonas cellulosilytica,633,446471
Xylella fastidiosa 9a5c,416,160492
Xylella fastidiosa PLS229,287,1444770
Yaniella halotolerans,932,1123507
Yersinia aldovae,1641,527002
Yersinia enterocolitica 8081,1080,393305
Yersinia enterocolitica LC20,1880,1443113
Yersinia frederiksenii,1906,349966
Yersinia intermedia,1052,349965
Yersinia kristensenii,1155,28152
Yersinia massiliensis,1946,1205683
Yersinia pestis CO92,1141,214092
Yersinia pseudotuberculosis,1095,633
Yersinia ruckeri,848,29486
Zetaproteobacteria bacterium TAG1,254,1485545
Zimmermannella faecalis,460,1278308
Zymomonas mobilis ATCC10988,282,555217
Zymomonas mobilis pomaceae,276,579138
Zymomonas mobilis ZM4,282,264203
