Organism Name,# of essential genes,NCBI Taxonomy ID
Arthrobacter sp. 162MFSha11,1492,1151119
Arthrobacter sp. 31Y,1546,1115632
Arthrobacter sp. 35W,1406,1132441
Arthrobacter sp. 9MFCol31,1678,1150398
Arthrobacter sp. A3,775,595593
Arthrobacter sp. AKYN10,1500,1349820
Arthrobacter sp. Br18,62,1312954
Arthrobacter sp. FB24,843,290399
Arthrobacter sp. H14,1390,1312959
Arthrobacter sp. M2012083,1747,1197706
Arthrobacter sp. MAN2,1611,1101188
Arthrobacter sp. PAO19,798,1096756
Arthrobacter sp. TB23,642,494419
Arthrobacter sp. UNC362MFTsu51,1701,1449044
Arthrospira platensis C1,1796,459495
Arthrospira platensis NIES39,985,696747
Asaia platycodi SF21,1081,1382230
Asticcacaulis benevestitus,1838,1121022
Asticcacaulis biprosthecum,1767,715226
Asticcacaulis excentricus,808,573065
Asticcacaulis sp. AC402,1299,1282361
Asticcacaulis sp. AC460,1617,1282360
Asticcacaulis sp. AC466,1509,1282362
Atelocyanobacterium thalassa SIO64986,156,1527444
Atopobium parvulum,208,521095
Atopobium rimae,113,553184
Atopobium sp. BS2,105,936550
Atopobium sp. BV3Ac4,247,1111121
Atopobium sp. F0209,556,1321773
Atopobium sp. F0494,204,1203602
Atopobium vaginae DSM15829,136,525256
Atopobium vaginae PB189T14,107,866774
Aureimonas ureilytica,2203,1121028
Austwickia chelonae,739,1184607
Avibacterium paragallinarum 221,521,1278971
Avibacterium paragallinarum 72,592,948565
Azoarcus sp. BH72,1369,62928
Azoarcus sp. KH32C,619,748247
Azorhizobium caulinodans,1201,438753
Azorhizobium doebereinerae,2053,1038858
Azospirillum halopraeferens,3562,1121033
Azotobacter vinelandii,1177,322710
Azovibrio restrictus,2048,1121035
Bacteriovorax marinus,707,862908
Bacteriovorax sp. BAL6X,613,1201290
Bacteriovorax sp. BSW11IV,1314,1353529
Bacteriovorax sp. Seq25V,1160,1201288
Bartonella alsatica,337,1094551
Bartonella australis,251,1094489
Bartonella bacilliformis,378,360095
Bartonella birtlesii,326,1201035
Bartonella bovis,342,1094491
Bartonella clarridgeiae,257,696125
Bartonella doshiae,334,1094553
Bartonella elizabethae,358,1408427
Bartonella grahamii,267,634504
Bartonella henselae,260,283166
Bartonella koehlerae,362,1134510
Bartonella melophagi,328,1094557
Bartonella quintana,247,283165
Bartonella rattaustraliani,336,1205681
Bartonella rattimassiliensis,363,1094556
Bartonella rochalimae,321,685782
Bartonella schoenbuchensis,339,1094496
Bartonella senegalensis,343,929794
Bartonella sp. DB56,369,1094755
Bartonella sp. R4,359,928210
Bartonella tamiae,365,1094558
Bartonella taylorii,128,1094560
Bartonella tribocorum,285,382640
Bartonella vinsonii arupensis,369,1094561
Bartonella vinsonii berkhoffii,273,1094497
Bartonella washoensis,367,1094563
Basilea psittacipulmonis,357,1072685
Baumannia cicadellinicola,171,186490
Bdellovibrio bacteriovorus HD100,909,264462
Bdellovibrio bacteriovorus W,552,765869
Bdellovibrio exovorus,359,1184267
Beggiatoa alba,1488,395493
Beijerinckia indica,811,395963
Beijerinckia mobilis,1270,231434
Belnapia moabensis,2521,1121106
beta proteobacterium CB,441,543913
beta proteobacterium KB13,140,314607
Betaproteobacteria bacterium MOLA814,1013,1408164
Beutenbergia cavernae,877,471853
Bibersteinia trehalosi,593,1263831
Bifidobacterium actinocoloniiforme,122,1437605
Bifidobacterium adolescentis,167,1680
Bifidobacterium angulatum,161,518635
Bifidobacterium animalis,139,552531
Bifidobacterium asteroides,153,1147128
Bifidobacterium biavatii,896,1437608
Bifidobacterium bifidum NCIMB41171,355,398513
Bifidobacterium bifidum PRL2010,160,702459
Bifidobacterium bohemicum,123,1437606
Bifidobacterium bombi,94,1341695
Bifidobacterium breve,170,326426
Bifidobacterium callitrichos,435,1437609
Bifidobacterium catenulatum,155,566552
Bifidobacterium choerinum,101,35760
Bifidobacterium coryneforme,160,1687
Bifidobacterium crudilactis,220,327277
Bifidobacterium cuniculi,203,1688
Bifidobacterium dentium,196,401473
Bifidobacterium gallicum,116,561180
Bifidobacterium gallinarum,103,78344
Bifidobacterium longum,147,216816
Bifidobacterium magnum,95,1692
Bifidobacterium merycicum,110,78345
Bifidobacterium minimum,107,1693
Bifidobacterium mongoliense,181,1437603
Bifidobacterium moukalabense,198,1435051
Bifidobacterium pseudocatenulatum,171,547043
Bifidobacterium pseudolongum globosum,98,1690
Bifidobacterium pseudolongum,116,31954
Bifidobacterium psychraerophilum,396,218140
Bifidobacterium pullorum,169,1437600
Bifidobacterium reuteri,426,1437610
Bifidobacterium ruminantium,97,78346
Bifidobacterium scardovii,358,158787
Bifidobacterium sp. 7101,188,1394175
Bifidobacterium sp. A11,174,1394176
Bifidobacterium stellenboschense,231,762211
Bifidobacterium subtile,432,77635
Bifidobacterium thermophilum,161,33905
Bifidobacterium tsurumiense,191,356829
Bilophila wadsworthia 316,1141,563192
Bilophila wadsworthia ATCC49260,1367,1408428
Blastococcus massiliensis,1637,1211815
Blastococcus saxobsidens,1298,1146883
Blastococcus sp. URHD0036,2164,1380356
Blastomonas sp. AAP53,1384,1248760
Blochmannia floridanus,244,203907
Blochmannia pennsylvanicus,235,291272
Bordetella avium,760,360910
Bordetella bronchiseptica,1082,257310
Bordetella hinzii,980,1392838
Bordetella holmesii,885,1247649
Bordetella pertussis 18323,757,568706
Bordetella pertussis Tohama,759,257313
Bordetella petrii,1400,94624
Bordetella sp. FB8,1780,1159870
Bordetella trematum,1012,123899
Bosea sp. 117,1980,1125973
Bosea sp. LC85,2799,1502851
Bosea sp. UNC402CLCol,2192,1510531
Brachybacterium faecium,566,446465
Brachybacterium paraconglomeratum,769,1064537
Brachybacterium phenoliresistens,1147,396014
Brachybacterium squillarum,637,1074488
Brachymonas chironomi,297,1121116
Bradyrhizobiaceae bacterium SG6C,1414,709797
Bradyrhizobium elkanii USDA76,2104,398525
Bradyrhizobium elkanii WSM1741,2827,1038859
Bradyrhizobium elkanii WSM2783,4005,1038860
Bradyrhizobium genosp.,3530,936455
Bradyrhizobium japonicum 22,2682,1304877
Bradyrhizobium japonicum in8p8,3355,1304878
Bradyrhizobium japonicum USDA124,2216,1038862
Bradyrhizobium japonicum USDA6,2228,1037409
Bradyrhizobium oligotrophicum,2213,1245469
Bradyrhizobium sp. Ai1a2,3014,196490
Bradyrhizobium sp. ARR65,3612,1040989
Bradyrhizobium sp. BTAi1,2394,288000
Bradyrhizobium sp. Cp53,3104,443598
Bradyrhizobium sp. DFCI1,1029,1230476
Bradyrhizobium sp. DOA9,2822,1126627
Bradyrhizobium sp. Ec33,2655,189753
Bradyrhizobium sp. OHSUIII,2821,1297865
Bradyrhizobium sp. ORS278,1935,114615
Bradyrhizobium sp. S23321,2050,335659
Bradyrhizobium sp. thb2,3647,172088
Bradyrhizobium sp. Tv2a2,2785,113395
Bradyrhizobium sp. URHA0002,2403,1298867
Bradyrhizobium sp. URHD0069,2431,1380355
Bradyrhizobium sp. WSM1253,3117,319003
Bradyrhizobium sp. WSM1743,2894,318996
Bradyrhizobium sp. WSM2793,3384,1038866
Bradyrhizobium sp. WSM3983,2790,1038867
