167550.EV00_1200,EV00_1200,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1022,56.4
167550.EV00_0543,EV00_0543,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1312,55.3
167550.EV00_0158,EV00_0158,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1509,54.9
167550.EV00_0587,EV00_0587,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1356,54.8
167550.EV00_0588,EV00_0588,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1357,54.1
167550.EV00_1882,EV00_1882,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0566,53.8
167550.EV00_1085,EV00_1085,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0907,53.5
167550.EV00_0286,EV00_0286,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1638,53.1
167550.EV00_1001,EV00_1001,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0823,52.6
167550.EV00_0294,EV00_0294,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1646,52.1
167550.EV00_0283,EV00_0283,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1635,52.0
167550.EV00_0292,EV00_0292,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1644,51.8
167550.EV00_1018,EV00_1018,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_0840,51.5
167550.EV00_0272,EV00_0272,Alternative&nbsp;locus&nbsp;ID:&nbsp;PMIT9322_1624,51.3
